Menu,Meth,Ingre,Step,ImURL,,,,,,,,,,,,,,,,,,,,
ข้าวอบกุนเชียง,อบ,"ข้าวสวย,กุนเชียง,เห็ดหอม,แปะก๊วย,แคร์รอต,คะน้า,พริกไทยป่น,น้ำมันงา",หั่นเห็ดหอมให้เป็นเส้น ตามด้วยแคร์รอตหั่นเป็นเต๋า และสุดท้ายตามด้วยคะน้า|ซาว เอโร่ ข้าวหอมผสม 30%:70% ประมาณ 1-2 รอบ จากนั้นพักไว้|กดปุ่มหม้อหุงข้าว แล้วนำกุนเชียงลงผัดกับน้ำมันให้พอขึ้นสี ตามด้วยเห็ดหอม แคร์รอตและแปะก๊วย|ปรุงรสด้วยเครื่องปรุง เคล้าให้เข้ากันดี|ใส่ข้าวที่เตรียมไว้ และน้ำ คนเบา ๆ ให้เข้ากัน จากนั้นปิดฝาและรอให้ข้าวสุก|เมื่อข้าวสุกดีแล้ว นำคะน้าที่หั่นไว้มาเคล้าในหม้อ พักไว้ประมาณ 3 นาที จากนั้นตักเสิร์ฟให้สวยงาม,https://img.wongnai.com/p/800x0/2024/04/11/6ee72a3fd763464e8d702202cb4855ca.jpg,,,,,,,,,,,,,,,,,,,,
เส้นหมี่ไก่ฉีกคั่วกระเทียมพริกไทย,คั่ว,"อกไก่,เส้นหมี่,กระเทียม,พริกไทย,รากผักชี",ตั้งหม้อใส่น้ำให้เดือด ใส่ โลตัสไก่ปลอดสาร (อกไก่) รากผักชี และกระเทียม ปรุงรสด้วยเกลือเล็กน้อย ต้มประมาณ 30 นาที หรือจนอกไก่สุก เมื่อสุกแล้ว นำอกไก่แช่ในน้ำเย็น จากนั้นฉีกให้เป็นเส้น|ผสมซีอิ๊วขาว ซอสหอยนางรม ซอสปรุงรส และน้ำตาลในชามผสม คนจนทุกอย่างละลายเข้ากันดี|ลวกเส้นหมี่ในน้ำซุปไก่ เมื่อเส้นหมี่สุกแล้ว นำมาคลุกกับน้ำปรุงรสที่เตรียมไว้|ตั้งกระทะใส่น้ำมันเล็กน้อย ผัดกระเทียมและรากผักชีโขลกพอหอม ใส่เนื้อไก่ฉีกลงคั่วในกระทะ จากนั้นปรุงรสด้วยพริกไทย|จัดเส้นหมี่ที่คลุกซอสไว้ลงในจานเสิร์ฟ ตามด้วยไก่ฉีกคั่วกระเทียมพริกไทย แล้วโรยหน้าด้วยกระเทียมเจียวและน้ำพริกกากหมูตามชอบ,https://img.wongnai.com/p/800x0/2024/03/26/79ec6e577d4d4793bbda2ffb52d3e63d.jpg,,,,,,,,,,,,,,,,,,,,
ต้มแซ่บผักกาดดอง,ต้ม,"รากผักชีกระเทียมพริกไทย,หมูสับ,ผักกาดดอง,พริกขี้หนู,พริกป่น,มะนาว,ซุปก้อน",ตั้งหม้อตามด้วยน้ำเปล่า รากผักชี กระเทียม พริกไทย เมื่อน้ำเดือด ใส่ซุปก้อน รอจนซุปละลาย|ใส่หมูสับ รอหมูสุก ช้อนฟองออก|ใส่ผักกาดดอง ช้อนฟองอีกทีถ้ายังมีฟองอยู่ ชิมรส|ตามด้วยพริกขี้หนูทุบ ปิดไฟ|ปรุงรสด้วยน้ำปลา พริกป่น น้ำมะนาว ชิมรสตามชอบ พร้อมทาน ,https://img.wongnai.com/p/1968x0/2025/10/08/fad2b58d79b2413aa18b51a4e7bc4091.jpg,,,,,,,,,,,,,,,,,,,,
ข้าวผัดแซลมอน,ผัด,"ข้าวสวย,แซลมอนสเต๊ก,ต้นหอมซอย,กระเทียม,แคร์รอต,โชยุ ,พริกไทยดำ,ไข่ไก่
",หุง เอโร่ ข้าวญี่ปุ่นพันธุ์ซาซานิชิกิ โดยนำไปซาวให้สะอาด แช่ข้าวไว้ 30 นาที (อัตราส่วน ข้าว : น้ำ = 1 : 1.2)|เมื่อครบเวลานำไปหุงในหม้อหุงข้าวให้สุก จากนั้นปล่อยให้ข้าวระอุเป็นเวลา 15 นาที|นำข้าวที่หุงเสร็จแล้วไปผึ่งลมพักไว้ให้ข้าวเย็นตัวลง|นำชิ้นแซลมอนมาปรุงรสด้วยเกลือและพริกไทยดำ แล้วนำไปย่างให้สุกเตรียมไว้|ตอกไข่ใส่ชาม ตีให้เข้ากัน พักไว้|ใส่น้ำมันผัดกระเทียมจนหอม จากนั้นใส่แคร์รอตลงผัดให้เข้ากัน แล้วตามด้วยแซลมอนที่ย่างไว้ 1 ชิ้น ผัดและยีเนื้อแซลมอนให้เป็นชิ้นเล็ก ๆ แล้วเว้นที่ตรงกลางกระทะ ใส่ไข่ไก่ที่ตีไว้ลงไป ผัดให้เข้ากันและไข่สุก|ใส่ เอโร่ ข้าวญี่ปุ่นพันธุ์ซาซานิชิกิ ที่หุงไว้ตามลงไป ผัดให้เข้ากันดี แล้วตามด้วยต้นหอมซอย ปรุงรสด้วยโชยุและพริกไทยดำ ผัดให้ทั่ว|ตักข้าวผัดแซลมอนใส่ชามเสิร์ฟ ท็อปด้วยแซลมอนย่างอีกชิ้น โรยตกแต่งด้วยต้นหอมซอย เสิร์ฟร้อน ๆ,https://img.wongnai.com/p/800x0/2024/03/19/63777328dafc4dbea98e00dbb674bb6f.jpg,,,,,,,,,,,,,,,,,,,,
ข้าวผัดหมู,ผัด,"ข้าวสวย,กระเทียม,เนื้อหมู,ไข่ไก่,ซีอิ๊วดำ,มะเขือเทศ,หัวหอมใหญ่",เตรียมส่วนผสม หุงข้าวเตรียมไว้ แต่จะดีที่สุดถ้าเป็นข้าวเก่าที่ทานเหลือแช่ตู้เย็นไว้ เพราะ มาผัดจะไม่แฉะ|หั่นผักต่างๆให้เรียบร้อยพักเตรียมไว้|ตั้งไฟให้ร้อนใส่น้ำมัน กระเทียมลงไปผัดให้หอม อย่าให้ไหม้|ตามด้วยหมูลงไปผัดให้สุก และใส่ผัก ตามด้วยไข่ไก่|ใส่ข้าวหลังสุด เพื่อไม่ให้ข้าวแฉะ|ปรุงรสใส่ซีอิ๊ว น้ำตาล ซีอิ๊วดำ ผัดจนข้าวสีเหลืองหอม ชิมรสให้ถูกใจก่อนจัดเสริฟ,https://img.wongnai.com/p/400x0/2017/12/03/94ecc824176d4b6897ac6c5800ea6426.jpg,,,,,,,,,,,,,,,,,,,,
ข้าวผัดไข่,ผัด,"ข้าวสวย,ไข่ไก่,ต้นหอม,พริกไทย",เทน้ำมันลงในกระทะ วนให้น้ำมันทั่วกระทะแล้วเทน้ำมันออก |นำข้าวสวยมาผัดให้ข้าวร้อนและร่วน|ตอกไข่ลงแล้วผัดให้ไข่เคลือบเม็ดข้าวให้ทั่ว|ผัดให้ไข่สุก แล้วข้าวสีเหลืองไข่สวยงาม|ปรุงรสด้วยเกลือ และพริกไทย ใส่ต้นหอมซอย เพื่อเพิ่มความสวยงาม,https://img.wongnai.com/p/800x0/2019/12/19/d5537700a7274ac09964b6a51dd0a9f6.jpg,,,,,,,,,,,,,,,,,,,,
ข้าวหน้าหมูกระทะ,ผัด,"หมู,กะหล่ำปลี,แคร์รอต,ผักบุ้งจีน,ข้าวโพด,น้ำจิ้มหมูกระทะ,ข้าวสวย,ไข่แดง",ซาวข้าวและหุงข้าวเตรียมไว้|ลวกผักในชุดหมูกระทะ เช่นกะหล่ำปลี แคร์รอต ผักบุ้งจีน หรือข้าวโพด ให้สุกตามชอบ|ย่าง CP ชุดรวมหมูกระทะ (แช่แข็ง) ทาด้วยน้ำจิ้มหมูกระทะระหว่างย่าง จนสุก|นำหมูที่ย่างเรียบร้อยแล้วมาทาด้วยน้ำจิ้มหมูกระทะอีกครั้ง|ตักข้าวใส่ชามเสิร์ฟ จัดวางหมูกระทะที่ย่างไว้ลงบนข้าวสวย ตกแต่งแซมด้วยผักที่เตรียมไว้ ท็อปด้วยไข่แดง พร้อมเสิร์ฟ,https://img.wongnai.com/p/800x0/2023/11/14/4e7b04415dc14f2287255807ce2a0b26.jpg,,,,,,,,,,,,,,,,,,,,
ข้าวผัดน้ำพริกกะปิ,ผัด,"ข้าวสวย,น้ำพริกกะปิ,แครอท,กะหล่ำดอก,ผักคอส,กุ้งแห้ง,ไข่เค็ม,ปลาซาบะย่าง",ตั้งกระทะผัดข้าวสวยกับน้ำพริกกะปิให้เข้ากัน ปรุงรสเพิ่มตามชอบ|ลวกผัก แครอท กะหล่ำดอก และผักสด ผักคอาวางเรียงในจาน|ใช้ปลาซาบะย่างเกลือแช่แข็งแทนปลาทู อุ่นในน้ำเดือด 3 นาที ตาม instruction ข้างซอง แล้วจัดวางในจาน พร้อมไข่เค็ม,https://img.wongnai.com/p/1968x0/2025/09/25/1e1ddadf1618415096fc4bbd73a0ec35.jpg,,,,,,,,,,,,,,,,,,,,
ข้าวมันกุ้ง,หุง,"ข้าวสวย,กุ้งสด,หัวกุ้ง,เปลือกกุ้ง,กระเทียม,ขิง,รากผักชี,พริกไทยป่น,น้ำซุปไก่,น้ำจิ้มซีฟู้ด,ผักชี",ตั้งกระทะใส่น้ำมันพืชพอร้อน ใส่กระเทียม ขิง รากผักชี ตามด้วยหัวกุ้ง ลงผัดพอหอม|ใส่ ข้าวหอมผสม 30%:70% ตราเอโร่ ลงผัดพอเข้ากัน ปรุงรสด้วยซีอิ๊วขาว เกลือป่น พริกไทยป่น ผัดให้เข้ากันยกลง|เทลงในหม้อหุงข้าว เติมน้ำซุปไก่คนพอเข้ากัน ปิดฝาแล้วกดหุง|เมื่อข้าวใกล้สุกเรียงกุ้งสดบนข้าว ปิดฝาหุงต่อจนกุ้งสุก|ตักใส่ภาชนะ ตกแต่งด้วยผักชี จัดเสิร์ฟพร้อมน้ำจิ้มซีฟู้ด,https://img.wongnai.com/p/800x0/2023/09/27/286c2303d659444988c79f7ce6065320.jpg,,,,,,,,,,,,,,,,,,,,
ข้าวคลุกพริกเกลือ,ผัด,"ข้าวสวย ,กระเทียม,พริกขี้หนู,มะนาวถ้วย,น้ำตาลปี๊บ,กุ้งขาว,ปลาหมึก,ปลากะพง,กระเทียมเจียว,ผักชี",หุง ข้าวหอมปทุมธานี ตราเอโร่ เตรียมไว้|ทำพริกเกลือโดยโขลกกระเทียมและพริกขี้หนู เข้าด้วยกันพอหยาบ ใส่เกลือสมุทรโขลกต่อพอเข้ากัน จากนั้นใส่น้ำปลา น้ำตาลปี๊บ และน้ำมะนาว คนให้เข้ากันดี|ตั้งหม้อบนไฟกลาง ใส่น้ำให้พอเดือด ใส่กุ้ง ปลาหมึก และปลากะพงลงลวกพอสุก ตักขึ้น ใส่จานพักไว้|นำข้าวสวยร้อน ๆ ใส่ชามผสม ใส่น้ำจิ้มพริกเกลือที่ทำไว้ 2 ช้อนโต๊ะ คลุกให้เข้ากัน|จัดข้าวสวยที่คลุกไว้ใส่จาน ตามด้วยอาหารทะเลลวก ตกแต่งด้วยผักชี และกระเทียมเจียวเสิร์ฟพร้อมกับน้ำจิ้มพริกเกลือ,https://img.wongnai.com/p/800x0/2023/09/14/4de892f4ee204dd9a240ef1c0963f675.jpg,,,,,,,,,,,,,,,,,,,,
